OpenTime,Open,High,Low,Close,Volume,SMA_10,RSI,MACD,MACD_Signal
12/03/2024,72078.1,73000,68620.82,71452.01,68783.54669,67690.435,75.63635,5380.27153,4860.030918
13/03/2024,71452,73650.25,71333.31,73072.41,52659.71165,68686.279,71.85823,5498.50859,4987.726453
14/03/2024,73072.4,73777,68555,71388.94,71757.62875,69000.602,70.74686,5394.18949,5069.019061
15/03/2024,71388.94,72419.71,65600,69499.85,103334.0355,69578.186,64.02536,5100.28912,5075.273073
16/03/2024,69499.84,70043,64780,65300.63,55926.95336,69500.845,55.68279,4476.92183,4955.602825
17/03/2024,65300.64,68904.4,64533,68393.48,49742.21589,69657.876,58.48287,4184.23268,4801.328797
18/03/2024,68393.47,68956,66565.2,67609.99,55691.08088,69606.456,48.81264,3844.73363,4610.009764
19/03/2024,67610,68124.11,61555,61937.4,101005.3249,68968.869,46.80063,3082.41542,4304.490895
20/03/2024,61937.41,68100,60775,67840.51,90420.58592,68857.332,52.8062,2920.93368,4027.779452
21/03/2024,67840.51,68240.47,64529.01,65501.27,53357.48002,68199.649,48.00103,2574.52361,3737.128283
22/03/2024,65501.28,66649.62,62260,63796.64,51482.37821,67434.112,43.53481,2137.79853,3417.262333
23/03/2024,63796.64,65999,63000,63990.01,26410.11409,66525.872,43.54205,1786.69816,3091.149498
24/03/2024,63990.02,67628.69,63772.29,67209.99,31395.78015,66107.977,47.5785,1748.12279,2822.544156
25/03/2024,67210,71150,66385.06,69880.01,53431.14486,66145.993,46.91258,1910.97134,2640.229593
26/03/2024,69880,71561.1,69280,69988,38934.38417,66614.73,47.91329,2025.39637,2517.262949
27/03/2024,69987.99,71769.54,68359.18,69469.99,49119.35685,66722.381,44.69875,2050.64144,2423.938648
28/03/2024,69469.99,71552.06,68903.62,70780.6,35439.03239,67039.442,49.09485,2151.60129,2369.471176
29/03/2024,70780.6,70916.16,69009,69850.54,25445.08353,67830.756,50.53712,2131.9884,2321.97462
30/03/2024,69850.53,70321.1,69540,69582.18,13644.61142,68004.923,57.45543,2070.91837,2271.76337
31/03/2024,69582.17,71366,69562.99,71280.01,19396.34433,68582.797,55.28295,2134.9107,2244.392836
01/04/2024,71280,71288.23,68062.86,69649.8,41445.32039,69168.113,53.62105,2030.67244,2201.648756
02/04/2024,69649.81,69674.23,64550,65463.99,71799.82793,69315.511,56.60924,1591.95194,2079.709394
03/04/2024,65463.99,66903.63,64493.07,65963.28,39887.21778,69190.84,45.58826,1269.91256,1917.750028
04/04/2024,65963.27,69309.91,65064.52,68487.79,41510.48453,69051.618,56.95812,1204.51598,1775.103218
05/04/2024,68487.8,68756.67,65952.56,67820.62,37915.23073,68834.88,59.85148,1086.33112,1637.348799
06/04/2024,67820.63,69692,67447.83,68896,20134.28919,68777.481,61.51358,1067.14161,1523.307362
07/04/2024,68896,70326.29,68824,69360.39,21534.74433,68635.46,55.79634,1076.99129,1434.044147
08/04/2024,69360.38,72797.99,69043.24,71620,45723.87624,68812.406,54.79621,1252.68866,1397.773049
09/04/2024,71620,71758.19,68210,69146,39293.90242,68768.788,47.94687,1178.71151,1353.960742
10/04/2024,69146,71172.08,67518,70631.08,42006.02377,68703.895,52.70369,1225.78752,1328.326097
11/04/2024,70631.08,71305.89,69567.21,70006.23,31917.25595,68739.538,48.13733,1198.85576,1302.43203
12/04/2024,70006.22,71227.46,65086.86,67116.52,56072.86229,68904.791,43.99016,933.57503,1228.660629
13/04/2024,67116.52,67929,60660.57,63924.51,71395.22019,68700.914,38.97993,460.46169,1075.020841
14/04/2024,63924.52,65840,62134,65661.84,61599.17818,68418.319,39.07368,223.13185,904.643042
15/04/2024,65661.85,66867.07,62274.4,63419.99,52389.53069,67978.256,38.1657,-144.19019,694.876396
16/04/2024,63419.99,64365,61600,63793.39,53435.29331,67467.995,46.28897,-400.54802,475.7915131
17/04/2024,63793.4,64499,59678.16,61277.37,50610.54509,66659.693,40.44679,-797.54167,221.1248765
18/04/2024,61277.38,64117.09,60803.35,63470.08,43601.60918,65844.701,39.63005,-924.57075,-8.014248816
19/04/2024,63470.09,65450,59600.01,63818.01,69774.30271,65311.902,41.61731,-985.80344,-203.5720871
20/04/2024,63818.01,65419,63090.07,64940.59,23137.42975,64742.853,41.73251,-932.993,-349.4562699
21/04/2024,64940.58,65695.56,64237.5,64941.15,19316.42152,64236.345,40.58038,-880.94023,-455.753062
22/04/2024,64941.15,67232.35,64500,66819.32,31397.99371,64206.625,39.5982,-680.29341,-500.6611321
23/04/2024,66819.32,67183.01,65765.81,66414,22599.90004,64455.574,43.49757,-547.67208,-510.0633212
24/04/2024,66414,67070.43,63606.06,64289.59,33595.69637,64318.349,35.3524,-606.9938,-529.4494171
25/04/2024,64289.58,65297.94,62794,64498.34,31341.46338,64426.184,37.02851,-629.9012,-549.5397743
26/04/2024,64498.33,64820.01,63297.48,63770.01,27085.19346,64423.846,41.22543,-698.77064,-579.3859468
27/04/2024,63770,63923.41,62391.24,63461.98,20933.06052,64642.307,48.57115,-769.33717,-617.3761905
28/04/2024,63461.98,64370,62781,63118.62,16949.20005,64607.161,41.40306,-843.2475,-662.550452
29/04/2024,63118.62,64228.35,61765.53,63866,28150.22947,64611.96,51.67711,-831.92474,-696.4253094
30/04/2024,63866,64734,59191.6,60672,54947.65535,64185.101,40.3168,-1068.36503,-770.8132535
01/05/2024,60672.01,60841.63,56552.82,58364.97,81166.46823,63527.483,40.84644,-1425.47175,-901.7449535
02/05/2024,58364.97,59625,56911.84,59060.61,47583.81961,62751.612,34.70155,-1633.51888,-1048.099739
03/05/2024,59060.6,63333,58811.32,62882.01,43628.40143,62398.413,47.38328,-1473.06214,-1133.09222
04/05/2024,62882.01,64540,62541.03,63892.04,24368.69282,62358.658,47.05006,-1249.98895,-1156.471565
05/05/2024,63892.03,64646,62822.17,64012,18526.75029,62310.024,47.40342,-1051.40215,-1135.457683
